respon,DH_appr,age,PID5,female,followbaseball
952,,63,3,"Male",0
953,,26,2,"Female",0
954,,40,5,"Female",1
955,,59,5,"Male",0
956,,23,1,"Female",1
957,1,43,5,"Male",1
958,,47,,"Female",0
959,,30,3,"Female",0
960,,26,1,"Male",0
961,,48,1,"Female",0
962,,52,1,"Female",0
963,,32,5,"Female",0
964,1,58,3,"Male",1
965,,32,,"Female",0
966,,34,3,"Female",0
967,,24,5,"Male",1
968,1,51,5,"Female",1
969,,36,5,"Female",0
970,1,58,4,"Female",1
971,1,27,4,"Male",1
972,1,45,1,"Male",1
973,0,48,2,"Male",1
974,1,67,5,"Male",1
975,,51,2,"Male",0
976,0,32,2,"Male",1
977,1,31,5,"Male",1
978,0,46,3,"Male",1
979,1,49,5,"Male",1
980,1,37,4,"Female",1
981,1,34,5,"Female",1
982,,35,3,"Male",0
983,,30,1,"Female",0
984,,43,5,"Female",0
985,1,36,1,"Male",1
986,,39,1,"Female",1
987,0,38,2,"Male",1
988,1,21,1,"Male",1
989,,37,1,"Male",1
990,1,28,5,"Male",1
991,1,42,2,"Female",1
992,,53,2,"Female",1
993,,47,5,"Male",0
994,,68,1,"Female",0
995,1,49,1,"Male",1
996,0,30,1,"Male",1
997,1,50,4,"Male",1
998,,43,5,"Male",0
999,0,25,,"Male",1
1000,,27,5,"Female",1
1001,,50,5,"Female",0
1002,,29,5,"Female",0
1003,1,29,5,"Female",1
1004,,51,2,"Female",0
1005,,20,4,"Male",0
1006,,65,1,"Male",0
1007,0,60,1,"Male",1
1008,0,67,5,"Male",1
1009,0,22,4,"Male",1
1010,,35,5,"Female",1
1011,,43,1,"Male",0
1012,,22,5,"Female",0
1013,0,36,4,"Male",1
1014,,29,1,"Male",1
1015,0,47,1,"Male",1
1016,,58,4,"Male",1
1017,,65,1,"Female",1
1018,,55,5,"Male",0
1019,,37,1,"Male",0
1020,,27,4,"Female",0
1021,,36,5,"Female",0
1022,0,42,1,"Male",1
1023,,37,1,"Female",0
1024,1,29,5,"Female",1
1025,,32,3,"Female",0
1026,0,65,5,"Male",1
1027,1,89,5,"Male",1
1028,,24,5,"Female",0
1029,,72,1,"Female",0
1030,,46,3,"Female",1
1031,,40,1,"Male",0
1032,1,42,1,"Male",1
1033,0,64,5,"Male",1
1034,,45,2,"Male",0
1035,0,50,4,"Male",1
1036,1,26,4,"Male",1
1037,1,54,1,"Male",1
1038,,34,,"Male",0
1039,,40,5,"Male",0
1040,1,70,1,"Male",1
1041,0,25,2,"Male",1
